countries_and_territories,max_confirmed_cases,max_percent_pop_sick,Total_cases,Total_deaths,deaths_to_confirmed_ratio
Liberia,1676,0.033945170043833017,244973,14697,5.9994366726129007
Bahamas,7674,1.9702890476166024,634612,14564,2.2949455730430564
Namibia,16536,0.66289199863380754,1451639,14559,1.0029353027853345
Congo,6049,0.11242441228554055,782776,14510,1.8536592843929809
Thailand,4237,0.0060854070287758178,874421,14505,1.6588119452757881
Tajikistan,12704,0.13629405270215511,1768483,14460,0.81764992934622494
Sierra_Leone,2440,0.03122917388468013,402219,14179,3.5251939863606641
Burkina_Faso,4030,0.019831327424910009,386817,14027,3.626262547923178
Andorra,7338,9.6328288065951657,544736,14021,2.573907360629736
Gambia,3782,0.16109411099222387,437266,13996,3.2007976837897303
Equatorial_Guinea,5185,0.38237970710525654,844084,13673,1.6198624781419857
Latvia,25675,1.3372618710311839,925630,13633,1.4728347179758652
Guyana,5920,0.75628373415093741,437216,13494,3.0863463368220745
Suriname,5353,0.92076723148876,653209,13346,2.0431439248387577
Uganda,27532,0.062191680261214091,1396613,12451,0.89151396986853182
Guinea,13420,0.10507980192379038,1900450,11451,0.60254150332815914
Djibouti,5728,0.58835794925207252,1097037,11422,1.0411681647929831
San_Marino,1947,5.6511769657214179,207512,11054,5.3269208527699607
Trinidad_and_Tobago,6879,0.49312923799740349,569458,10844,1.9042668642814748
Central_African_Republic,4936,0.1040213656850458,867123,10610,1.2235865038754594
Cape_Verde,11357,2.0651493992028165,1010946,10410,1.0297285908446148
Gabon,9330,0.42944372998345748,1541000,10101,0.65548345230369887
Uruguay,9708,0.28043773476333084,501993,9889,1.9699477881165675
Mozambique,16954,0.055832101666983748,1310731,9645,0.73584892704910465
South_Sudan,3206,0.0289818022124885,502328,9382,1.8677039703142169
Guam,7106,4.2475865985235659,486152,8063,1.6585347792459972
Malta,11101,2.2491738576340419,711889,8040,1.1293895537085135
Togo,3251,0.040223405072702167,319401,7558,2.3663044260976012
Belize,9295,2.3811902620974457,392380,7415,1.8897497324022632
Jersey,1779,1.6503395302237558,114757,7319,6.3778244464389973
Benin,3090,0.026183886639532025,404707,6762,1.6708384090218358
