countries_and_territories,date,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,pop_data_2019,death_percentage,percent_pop_sick
Poland,2020-11-17,20816,143,733788,10491,37972812,1.4297044923056796,1.932403636580825
Poland,2020-11-18,19152,357,752940,10848,37972812,1.4407522511753925,1.9828397222728726
Poland,2020-11-19,19883,603,772823,11451,37972812,1.4817105598565261,2.0352008695063195
Poland,2020-11-20,23975,637,796798,12088,37972812,1.5170720810042193,2.0983381478306109
Poland,2020-11-21,22464,626,819262,12714,37972812,1.5518845009288846,2.1574962633791777
Poland,2020-11-22,24213,574,843475,13288,37972812,1.5753875337146921,2.2212603059262506
Poland,2020-11-23,17856,330,861331,13618,37972812,1.581041434709769,2.2682834234135729
Poland,2020-11-24,15002,156,876333,13774,37972812,1.5717769386751383,2.3077906371537615
Poland,2020-11-25,32733,540,909066,14314,37972812,1.5745831435781339,2.3939917854911559
Poland,2020-11-26,15356,674,924422,14988,37972812,1.6213374411253736,2.4344312451761536
Poland,2020-11-27,16690,580,941112,15568,37972812,1.6542133136119825,2.4783837446644719
Poland,2020-11-28,17304,579,958416,16147,37972812,1.6847590190480961,2.5239531905090411
Poland,2020-11-29,15177,599,973593,16746,37972812,1.7200205835497997,2.5639212602953925
Poland,2020-11-30,11482,283,985075,17029,37972812,1.7287008603405831,2.594158683849908
Poland,2020-12-01,5736,121,990811,17150,37972812,1.7309052886978444,2.6092642283115612
Poland,2020-12-02,9113,449,999924,17599,37972812,1.760033762565955,2.6332629777325947
Poland,2020-12-03,13823,609,1013747,18208,37972812,1.7961088910744,2.669665338453207
Poland,2020-12-04,14863,620,1028610,18828,37972812,1.8304313588240442,2.7088065008195867
Poland,2020-12-05,13236,531,1041846,19359,37972812,1.8581441019114149,2.7436630186882129
Poland,2020-12-06,12427,502,1054273,19861,37972812,1.8838574069524689,2.7763890648920073
Poland,2020-12-07,9176,228,1063449,20089,37972812,1.8890421637520933,2.8005537224896591
Poland,2020-12-08,4421,92,1067870,20181,37972812,1.8898367778849483,2.81219626294729
Poland,2020-12-09,8310,411,1076180,20592,37972812,1.9134345555576204,2.8340803414822164
Poland,2020-12-10,12166,568,1088346,21160,37972812,1.9442346459673669,2.866119053811448
Poland,2020-12-11,13750,470,1102096,21630,37972812,1.9626239456453884,2.9023291717242325
Poland,2020-12-12,13105,544,1115201,22174,37972812,1.9883411151891004,2.9368407059240176
Poland,2020-12-13,11499,502,1126700,22676,37972812,2.0126031774207864,2.9671228983515889
Poland,2020-12-14,8976,188,1135676,22864,37972812,2.0132502579961189,2.9907608633250549
Poland,2020-03-04,1,0,1,0,37972812,0.0,2.6334631209297854e-06
Poland,2020-03-07,4,0,5,0,37972812,0.0,1.3167315604648928e-05
Poland,2020-03-08,1,0,6,0,37972812,0.0,1.5800778725578712e-05
Poland,2020-03-09,5,0,11,0,37972812,0.0,2.8968094330227638e-05
Poland,2020-03-10,6,0,17,0,37972812,0.0,4.4768873055806349e-05
Poland,2020-03-11,5,0,22,0,37972812,0.0,5.7936188660455275e-05
Poland,2020-03-12,9,0,31,0,37972812,0.0,8.1637356748823345e-05
Poland,2020-03-16,21,0,125,3,37972812,2.4,0.00032918289011622315
Poland,2020-03-19,49,0,287,5,37972812,1.7421602787456445,0.00075580391570684833
Poland,2020-03-20,68,0,355,5,37972812,1.4084507042253522,0.00093487940793007373
Poland,2020-03-21,70,0,425,5,37972812,1.1764705882352942,0.0011192218263951588
Poland,2020-03-22,111,0,536,5,37972812,0.93283582089552231,0.001411536232818365
Poland,2020-03-28,168,0,1389,16,37972812,1.1519078473722102,0.0036578802749714719
Poland,2020-10-05,0,0,98140,2604,37972812,2.6533523537803139,0.25844807068804915
Poland,2020-03-13,18,1,49,1,37972812,2.0408163265306123,0.00012903969292555947
Poland,2020-03-14,19,1,68,2,37972812,2.9411764705882351,0.0001790754922232254
Poland,2020-03-15,36,1,104,3,37972812,2.8846153846153846,0.0002738801645766977
Poland,2020-03-17,52,1,177,4,37972812,2.2598870056497176,0.000466122972404572
Poland,2020-03-18,61,1,238,5,37972812,2.1008403361344539,0.00062676422278128889
Poland,2020-03-24,115,1,749,8,37972812,1.0680907877169559,0.0019724638775764089
Poland,2020-08-04,575,1,47469,1732,37972812,3.6486970443868629,0.12500786088741597
Poland,2020-08-31,631,1,66870,2033,37972812,3.0402273067145207,0.17609967889657474
Poland,2020-03-23,98,2,634,7,37972812,1.1041009463722398,0.0016696156186694839
Poland,2020-03-25,152,2,901,10,37972812,1.1098779134295227,0.0023727502719577366
Poland,2020-03-27,170,2,1221,16,37972812,1.3104013104013106,0.0032154584706552678
Poland,2020-03-29,249,2,1638,18,37972812,1.098901098901099,0.0043136125920829882
Poland,2020-04-01,256,2,2311,33,37972812,1.4279532669839896,0.0060859332724687333
Poland,2020-06-05,361,2,25048,1117,37972812,4.4594378792717979,0.065962984253049264
Poland,2020-08-11,619,2,52410,1809,37972812,3.4516313680595307,0.13801980216793006
Poland,2020-05-25,395,3,21326,996,37972812,4.6703554346806717,0.056161234516948592
Poland,2020-06-01,215,3,23786,1064,37972812,4.473219540906415,0.062639553794435879
Poland,2020-06-23,296,3,32227,1359,37972812,4.2169609333788438,0.0848686159982042
Poland,2020-06-29,193,3,33907,1438,37972812,4.2410121803757335,0.089292834041366231
Poland,2020-07-13,370,3,37891,1571,37972812,4.1461032962972739,0.099784551115150485
Poland,2020-07-21,279,3,40383,1627,37972812,4.0289230616843721,0.10634714121250752
Poland,2020-03-26,150,4,1051,14,37972812,1.3320647002854424,0.0027677697400972042
Poland,2020-03-30,224,4,1862,22,37972812,1.1815252416756177,0.00490350833117126
Poland,2020-05-28,399,4,22473,1028,37972812,4.5743781426600805,0.05918181671665506
Poland,2020-06-08,575,4,26561,1157,37972812,4.3560106923685105,0.069947413955016025
Poland,2020-07-07,205,4,36155,1521,37972812,4.2068870142442263,0.095212859137216374
Poland,2020-07-25,458,4,42038,1655,37972812,3.9369142204671963,0.1107055226776463
Poland,2020-08-24,581,4,61762,1955,37972812,3.1653767688870182,0.16264794927486539
Poland,2020-09-08,302,4,71126,2124,37972812,2.986249753957765,0.18730769793925192
Poland,2020-07-05,314,5,35719,1512,37972812,4.2330412385565106,0.094064669216491
Poland,2020-07-06,231,5,35950,1517,37972812,4.2197496522948539,0.094672999197425778
Poland,2020-07-14,299,5,38190,1576,37972812,4.1267347473160516,0.10057195658830849
Poland,2020-07-28,337,5,43402,1676,37972812,3.8615731993917333,0.11429756637459454
Poland,2020-08-02,658,5,46346,1721,37972812,3.71337332240107,0.12205048180261183
Poland,2020-08-25,548,5,62310,1960,37972812,3.1455625100304925,0.16409108706513492
Poland,2020-09-22,748,5,79988,2298,37972812,2.8729309396409461,0.21064544811693164
Poland,2020-06-28,319,6,33714,1435,37972812,4.2563920033220617,0.088784575659026782
Poland,2020-06-30,247,6,34154,1444,37972812,4.2279088832933187,0.08994329943223589
Poland,2020-07-12,305,6,37521,1568,37972812,4.1789930971989016,0.098810169760406463
